TREEID,ONSTREET,CROSSSTREE,CROSSSTR_1,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE
79738,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  134 STREET,2,9,QUPA,Manhattan,10030
79741,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,7,PYCA,Manhattan,10027
79743,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,5,FRPE,Manhattan,10027
79745,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,6,TICO,Manhattan,10027
79742,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  134 STREET,2,7,GLTR,Manhattan,10030
79744,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  134 STREET,3,8,GLTR,Manhattan,10030
79748,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,3,LITU,Manhattan,10027
79751,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,5,TICO,Manhattan,10027
79759,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,6,PYCA,Manhattan,10027
79764,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,6,TICO,Manhattan,10027
79772,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  134 STREET,2,6,PYCA,Manhattan,10030
79778,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,5,GLTR,Manhattan,10027
79750,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  134 STREET,2,5,PLAC,Manhattan,10030
79755,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  134 STREET,2,3,PYCA,Manhattan,10030
79763,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  134 STREET,2,8,PYCA,Manhattan,10030
79768,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,3,GLTR,Manhattan,10027
79773,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,4,GLTR,Manhattan,10027
79780,WEST  126 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,6,GLTR,Manhattan,10027
79788,WEST  128 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,3,FRPE,Manhattan,10027
79791,WEST  128 STREET,ADAM C POWELL BOULEVARD,LENOX AVENUE,2,4,FRPE,Manhattan,10027
79785,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  134 STREET,2,10,PYCA,Manhattan,10030
79790,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  134 STREET,2,2,STJA2,Manhattan,10030
79794,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  134 STREET,2,5,PRCE,Manhattan,10030
79802,ADAM C POWELL BOULEVARD,WEST  124 STREET,WEST  125 STREET,2,6,ACPL,Manhattan,10027
79811,FRED DOUGLASS BOULEVARD,WEST  122 STREET,WEST  123 STREET,2,18,STJA2,Manhattan,10027
79822,ADAM C POWELL BOULEVARD,WEST  126 STREET,WEST  127 STREET,2,19,PLAC,Manhattan,10027
79833,ADAM C POWELL BOULEVARD,WEST  133 STREET,WEST  132 STREET,2,10,QUPA,Manhattan,10027
79839,ADAM C POWELL BOULEVARD,WEST  126 STREET,WEST  127 STREET,2,1,ZESE,Manhattan,10027
79799,WEST  133 STREET,ADAM C POWELL BOULEVARD,FRED DOUGLASS BOULEVARD,2,13,PYCA,Manhattan,10030
79807,ADAM C POWELL BOULEVARD,WEST  124 STREET,WEST  125 STREET,2,3,ACRU,Manhattan,10027
79815,FRED DOUGLASS BOULEVARD,WEST  122 STREET,WEST  123 STREET,2,3,SYRE,Manhattan,10027
79828,ADAM C POWELL BOULEVARD,WEST  126 STREET,WEST  127 STREET,2,21,PLAC,Manhattan,10027
79837,ADAM C POWELL BOULEVARD,WEST  126 STREET,WEST  127 STREET,3,4,PYCA,Manhattan,10027
